dropped_obs	mean_Rhat	mean_Bulk_ESS	mean_Tail_ESS	diff_predicted_vs_observed	diff_predicted_vs_observed_abs	dropped_observation_prediction	dropped_observation_prediction_diff	dropped_observation_prediction_diff_abs	b_Intercept_mean	b_environ_PC1_mean	b_Shoreline_mean	b_environ_PC2_mean	b_EA033_mean	b_Settlement_date_grouping_finer_mean	b_environ_PC1:Shoreline_mean	b_Shoreline:environ_PC2_mean	b_Shoreline:Settlement_date_grouping_finer_mean	b_Intercept_sd	b_environ_PC1_sd	b_Shoreline_sd	b_environ_PC2_sd	b_EA033_sd	b_Settlement_date_grouping_finer_sd	b_environ_PC1:Shoreline_sd	b_Shoreline:environ_PC2_sd	b_Shoreline:Settlement_date_grouping_finer_sd	b_Intercept_min	b_environ_PC1_min	b_Shoreline_min	b_environ_PC2_min	b_EA033_min	b_Settlement_date_grouping_finer_min	b_environ_PC1:Shoreline_min	b_Shoreline:environ_PC2_min	b_Shoreline:Settlement_date_grouping_finer_min	b_Intercept_max	b_environ_PC1_max	b_Shoreline_max	b_environ_PC2_max	b_EA033_max	b_Settlement_date_grouping_finer_max	b_environ_PC1:Shoreline_max	b_Shoreline:environ_PC2_max	b_Shoreline:Settlement_date_grouping_finer_max	b_Intercept_straddle_zero	b_environ_PC1_straddle_zero	b_Shoreline_straddle_zero	b_environ_PC2_straddle_zero	b_EA033_straddle_zero	b_Settlement_date_grouping_finer_straddle_zero	b_environ_PC1:Shoreline_straddle_zero	b_Shoreline:environ_PC2_straddle_zero	b_Shoreline:Settlement_date_grouping_finer_straddle_zero	Intercept§Estimate	environ_PC1§Estimate	Shoreline§Estimate	environ_PC2§Estimate	EA033§Estimate	Settlement_date_grouping_finer§Estimate	environ_PC1:Shoreline§Estimate	Shoreline:environ_PC2§Estimate	Shoreline:Settlement_date_grouping_finer§Estimate	Intercept§Est.Error	environ_PC1§Est.Error	Shoreline§Est.Error	environ_PC2§Est.Error	EA033§Est.Error	Settlement_date_grouping_finer§Est.Error	environ_PC1:Shoreline§Est.Error	Shoreline:environ_PC2§Est.Error	Shoreline:Settlement_date_grouping_finer§Est.Error	Intercept§l-95% CI	environ_PC1§l-95% CI	Shoreline§l-95% CI	environ_PC2§l-95% CI	EA033§l-95% CI	Settlement_date_grouping_finer§l-95% CI	environ_PC1:Shoreline§l-95% CI	Shoreline:environ_PC2§l-95% CI	Shoreline:Settlement_date_grouping_finer§l-95% CI	Intercept§u-95% CI	environ_PC1§u-95% CI	Shoreline§u-95% CI	environ_PC2§u-95% CI	EA033§u-95% CI	Settlement_date_grouping_finer§u-95% CI	environ_PC1:Shoreline§u-95% CI	Shoreline:environ_PC2§u-95% CI	Shoreline:Settlement_date_grouping_finer§u-95% CI	Intercept§Rhat	environ_PC1§Rhat	Shoreline§Rhat	environ_PC2§Rhat	EA033§Rhat	Settlement_date_grouping_finer§Rhat	environ_PC1:Shoreline§Rhat	Shoreline:environ_PC2§Rhat	Shoreline:Settlement_date_grouping_finer§Rhat	Intercept§Bulk_ESS	environ_PC1§Bulk_ESS	Shoreline§Bulk_ESS	environ_PC2§Bulk_ESS	EA033§Bulk_ESS	Settlement_date_grouping_finer§Bulk_ESS	environ_PC1:Shoreline§Bulk_ESS	Shoreline:environ_PC2§Bulk_ESS	Shoreline:Settlement_date_grouping_finer§Bulk_ESS	Intercept§Tail_ESS	environ_PC1§Tail_ESS	Shoreline§Tail_ESS	environ_PC2§Tail_ESS	EA033§Tail_ESS	Settlement_date_grouping_finer§Tail_ESS	environ_PC1:Shoreline§Tail_ESS	Shoreline:environ_PC2§Tail_ESS	Shoreline:Settlement_date_grouping_finer§Tail_ESS	Intercept§straddle_zero_95	environ_PC1§straddle_zero_95	Shoreline§straddle_zero_95	environ_PC2§straddle_zero_95	EA033§straddle_zero_95	Settlement_date_grouping_finer§straddle_zero_95	environ_PC1:Shoreline§straddle_zero_95	Shoreline:environ_PC2§straddle_zero_95	Shoreline:Settlement_date_grouping_finer§straddle_zero_95	dropped_observation_prediction_mean	dropped_observation_prediction_diff_mean
Vanuatu + Temotu	1.0000788400815737	47806.216487129044	57019.86437180912	1.981818181818182	1.981818181818182	6.7145	123.2855	123.2855	7.33313940443384	6.46382320245133	-5.62920018900034	-5.93304954023772	-0.24461040677845	-7.21875056086664	-4.93211175292198	4.41164248294013	5.78573216311724	7.19713283796848	2.57739029867178	4.47136115560519	4.5973643616644	0.606520100839409	2.69234620666404	1.87174950574258	3.12684836358038	1.86396875114725	-26.6883	-5.06297	-27.073	-23.8132	-2.60283	-18.5772	-12.5093	-9.18254	-2.46055	40.8398	18.2937	13.4262	14.7347	2.27177	5.3586	3.08375	16.9802	13.7829	yes	yes	yes	yes	yes	yes	yes	yes	yes	7.39841283214603	6.44813991480226	-5.66919432820414	-5.96706470581838	-0.245507092297566	-7.21178096549249	-4.9219809661595	4.43247248145003	5.78160530034828	7.20150170712102	2.58219698427142	4.47496474761042	4.5886366595248	0.609121302348495	2.68891937984812	1.87668849512108	3.12083007980854	1.86197060569357	-6.55908675	1.28919725	-14.8457	-14.67801	-1.4444105	-12.61102	-8.51691525	-1.8317085	2.23253975	21.6142275	11.40973	2.6833565	3.3349555	0.939791374999999	-2.03950225	-1.155209	10.3940775	9.54082124999999	1.00010176178256	1.00006978887417	1.00008627232522	1.00006591236917	1.00002369591443	1.00011801077577	1.00005577925191	1.0000657315208	1.00012260792012	45550.7783645064	46569.2076880752	45718.9007877387	40153.1799755737	89138.8454035498	39843.3632875064	45349.1836030512	39236.8942002734	38695.5950738866	56068.4110429151	60989.4886080137	53705.8475431084	50307.3691214554	77472.4850999124	53458.8309980651	60430.9311421098	49361.9037376999	51383.5120530022	yes	no	yes	yes	yes	no	no	yes	no	6.7145	123.2855
New Caledonia (incl loyalties)	1.0000677097377124	49340.12640808385	55162.678717584684	3.727272727272727	3.727272727272727	11.1169	22.8831	22.8831	37.1426537982759	-9.30177124117	-20.2604594362069	-0.7876785995582	-4.90331981448276	-15.1183873448276	7.28997156294379	-2.42277684860529	12.224292815	6.79156519852006	3.67061085764794	4.39931312075394	5.58839939634696	0.369719894349443	3.07099359984725	2.74895594320588	3.93021676049624	2.09660410389555	10.3695	-26.8176	-42.7073	-22.4376	-6.47042	-29.0152	-4.53872	-21.0938	3.10445	67.6522	6.10151	-3.84733	24.2272	-3.59311	-1.27029	19.641	13.4312	21.6721	no	yes	no	yes	no	no	yes	yes	no	37.0808492974138	-9.28886915622871	-20.2282210062931	-0.755323063451276	-4.90067142275862	-15.124167359569	7.28400978649321	-2.44327049675203	12.2287716689655	6.76213293875337	3.64339150353929	4.37736379083011	5.58615790897059	0.368598309893845	3.06204282013059	2.72905174664701	3.92653524533752	2.09053135768691	24.45389	-16.5383375	-29.488825	-11.2200125	-5.645882	-21.2432025	2.053466	-10.4822175	8.253041	51.01031	-2.27279225	-12.3273975	10.65852	-4.2031395	-9.243181	12.721205	4.94680324999999	16.4361075	1.00004585079177	1.00013399327381	1.0000373853678	1.00003197007989	1.00005255257937	1.00007394989787	1.00012390083157	1.00003917152478	1.00007061329255	62927.8271810125	40884.3643983636	62503.8377226807	37876.3898615497	82003.2222943436	40490.9546955047	40136.085956094	37173.2736063041	40065.1819569017	57251.7818185595	55612.7741160395	56482.6824758775	48554.1677053177	71157.9891398582	53381.4716156034	54511.2301920901	47494.079064421	52017.9323304952	no	no	no	yes	no	no	no	yes	no	11.1169	22.8831
Fiji	1.0001326017818855	36952.76653091574	49110.9060260906	4.2	4.2	22.5209	-14.520900000000001	14.520900000000001	36.5502438189655	-5.54199684272414	-20.7094261898276	-3.0331661362029	-4.07984042293103	-17.3563602162069	4.38208369146045	-0.590758227115276	13.8527725331034	6.58586829573367	2.7843297472252	4.2775038705961	5.05689398871794	0.348162990729908	3.19480148090869	2.0026420703122	3.50699216721278	2.19564258735139	10.0812	-17.2353	-41.0669	-22.0734	-5.72624	-31.9318	-4.63115	-14.9087	5.72275	66.2178	7.70263	-4.15275	18.0857	-2.6716	-5.45566	12.6078	12.6504	23.7907	no	yes	no	yes	no	no	yes	yes	no	36.5777515075862	-5.53983520777164	-20.7285163497414	-3.06909197018106	-4.08033929672414	-17.3448710266379	4.3809913486473	-0.564174539182298	13.842845739569	6.58941085366698	2.77787146330524	4.2760941740341	5.04175329166049	0.348722308040924	3.18239058988872	1.99723408173617	3.4956018968265	2.18627673370863	24.0913875	-11.059605	-29.76154	-12.5226125	-4.77281075	-23.7130175	0.54373055	-7.71538825	9.72640675	50.081025	-0.162347450000002	-12.925385	7.218175	-3.4091085	-11.2881825	8.344752	5.99538375	18.2646075	1.00009055576342	1.00018865970674	1.00011098491488	1.00009499993054	1.00004949720783	1.0001654985078	1.00019828483534	1.00010976955214	1.00018516561828	47125.8947563174	33453.4465241301	45829.2361679028	31040.1761585482	54364.2200953845	29492.6014967808	32082.9011208304	30189.6594284985	28996.763029849	53547.8973690909	50747.6857221714	50910.5946813554	44080.8585940638	63406.0668920226	43885.0615236881	48932.0366005074	42938.537792623	43549.4150592928	no	no	no	yes	no	no	yes	yes	no	22.5209	-14.520900000000001
Chuuk	1.0001243852958372	41568.939533418525	53038.00493747352	4.236363636363636	4.236363636363636	4.5591	1.4409	1.4409	35.7815055194828	-3.05452009467511	-19.3591618465517	-6.98250939789493	-4.60916053793103	-14.8075183903448	2.30225082953743	2.35247021622643	11.9925859198276	6.23765668133553	2.62776407662552	3.97044703767121	4.64161749620519	0.324695401232925	2.8751261685239	1.88295549104246	3.18713010349168	1.94381280094702	9.01773	-14.0093	-36.643	-24.4265	-5.98394	-28.3542	-6.14778	-11.4361	4.73504	62.1149	8.68193	-3.92223	13.0765	-3.3824	-3.90872	9.95681	13.7163	21.1472	no	yes	no	yes	no	no	yes	yes	no	35.7388834562069	-3.06154275885963	-19.333526082931	-6.92943968296535	-4.60755703974138	-14.8243422383621	2.30858228717557	2.31640963133138	12.0039741474138	6.21505518786318	2.62507265385791	3.95325026713123	4.63578245813227	0.324648093953638	2.8750264845738	1.88029064780943	3.1828985729726	1.94461953999823	23.83879	-8.28294375	-27.5757325	-15.736005	-5.256672	-20.542415	-1.3232065	-4.08446125	8.268819	48.2530125	2.011573	-12.0175975	2.4409195	-3.9842485	-9.27616275000001	6.0577135	8.38411725	15.9143025	1.00010157968771	1.00012444014439	1.00009237261588	1.00023373385487	1.00003321918918	1.00008376091206	1.00011229666617	1.00024237237477	1.00009569221752	50386.8421937782	36505.0340776057	49396.961365555	36123.4478648301	61272.0204251264	34706.5140265668	35821.9826668264	35526.8283803484	34380.8248001297	54711.3305808302	52948.7871419468	52938.7412094107	48081.4946880225	68954.7425059581	49998.360803517	52367.8789954424	47792.2396236381	49548.4688884958	no	yes	no	yes	no	no	yes	yes	no	4.5591	1.4409
Laguas yan gåni	1.0000816914140156	45879.1496422186	56076.03727709738	4.290909090909091	4.290909090909091	51.4241	-48.4241	48.4241	23.7605180160724	0.71885013519595	-12.3719722807562	-6.32672844811409	-4.70637317155172	-8.75283491252586	-1.21816535337159	3.41947537653017	8.27102459689655	6.53688707438728	2.46882055026686	4.1820385766524	4.55256656913763	0.306846231110758	2.77762323002501	1.79447300583513	3.06239184898433	1.86432601300606	-4.23979	-10.2742	-33.7046	-25.7647	-6.24489	-22.081	-7.81775	-10.0675	1.07079	50.434	10.1795	3.76756	12.9921	-3.36126	2.09217	7.17615	16.4999	17.2346	yes	yes	yes	yes	no	yes	yes	yes	no	23.6904724694759	0.720254634515748	-12.3275441510143	-6.27940719386491	-4.7050240287069	-8.75717597954018	-1.21735933257982	3.38751807209835	8.27362270930086	6.51627980242141	2.46222904346992	4.16871416653723	4.55286010690773	0.306565479233821	2.77462613951721	1.79061341791246	3.06311065282963	1.86236752037836	11.1399775	-4.18346875	-20.9314275	-14.8756125	-5.3148415	-14.3065075	-4.677851	-2.77555275	4.6968885	36.7359625	5.4732935	-4.58110875000001	2.900112	-4.11271875	-3.4006195	2.37131525	9.21376975	12.02041	1.00008094240291	1.00001102496186	1.00007605062588	1.0001619246369	1.00004226666476	1.00009219856186	1.00001851919782	1.00015895724592	1.00009333842823	52327.206707089	45860.5499319763	51695.6102737123	38991.7395750506	64754.7348505661	39196.593597518	43175.5734721835	37946.6206134569	38963.7177584146	59697.3053637009	58290.8783305139	57456.387688013	50041.3015856612	67839.836405361	53348.8687858088	56948.9502804778	49281.0766111856	51779.7304431542	no	yes	no	yes	no	no	yes	yes	no	51.4241	-48.4241
Pohnpei	1.000031550565433	43114.54261890978	52617.6144588084	4.290909090909091	4.290909090909091	0.2487	2.7513	2.7513	36.7866371344828	-2.92660964083208	-19.7750152837931	-7.64396820708436	-4.72774282741379	-14.8998688062069	2.15405469622177	2.69894186272217	12.0946631260345	6.21332690257562	2.66456344926869	3.96990372666946	4.59799743019356	0.324081033344467	2.91764676319232	1.89025743603992	3.17091752250173	1.97940442023906	12.6307	-13.8332	-40.7748	-25.4709	-6.17668	-27.7894	-5.07997	-12.0587	4.63486	68.5791	7.16276	-6.19023	13.3572	-3.45456	-3.7172	9.76245	14.5729	20.8734	no	yes	no	yes	no	no	yes	yes	no	36.7570637939655	-2.90617482964673	-19.7537413941379	-7.64898519505558	-4.7288240062931	-14.8979574235345	2.14041606384773	2.70156556911201	12.0933804924138	6.20492944238626	2.66546923672272	3.96087999509638	4.63502266230595	0.323187220342715	2.93753664143443	1.89147868469289	3.19396742800757	1.99273494534629	24.9215675	-8.17810425	-28.0175025	-16.3773025	-5.373511	-20.745215	-1.512348	-3.75565025	8.2891135	49.3476325	2.2631465	-12.4336925	1.7441785	-4.10156925	-9.231408	5.89357175	8.74685275	16.09951	1.00001155577236	1.00005202345071	1.000006507822	1.00005563851314	1.00001868393741	1.00002959290924	1.00004550002584	1.00004197785536	1.00002247480285	50836.4074137195	38326.737113469	49261.6697355001	37813.8469072565	64925.1167129849	36572.4080831028	37348.4211790174	36855.745838002	36090.5305871358	52719.8551063645	52560.2024529851	50953.3753173722	48574.1132585281	70835.2426677712	49970.4341738439	52161.9600921282	46853.4805338621	48929.8665264203	no	yes	no	yes	no	no	yes	yes	no	0.2487	2.7513
Luangiua + Nukumanu	1.0000925087094474	44775.68819103497	54822.83462659288	4.3090909090909095	4.3090909090909095	5.2408	-3.2408	3.2408	35.3491588017241	-2.80735764763082	-19.210945942069	-6.34431163381086	-4.62298020551724	-15.5542618317241	2.33088606993168	1.93501354101895	12.3960218555172	6.17090593791876	2.61230156702202	3.93634710030996	4.5585061958086	0.316021672656883	2.89490685474152	1.84297442138499	3.12654366382456	1.93985583463378	10.4361	-13.2552	-39.4427	-23.8316	-6.00678	-28.1028	-5.06126	-16.415	4.72429	64.1458	7.52156	-4.99412	19.616	-3.33729	-4.23635	9.92854	13.7459	20.9876	no	yes	no	yes	no	no	yes	yes	no	35.3165137862069	-2.81019080972018	-19.1900300655172	-6.30411048567555	-4.62246832508621	-15.572199842069	2.33396652839922	1.90848755879013	12.4069655405172	6.16280229086916	2.59809904353059	3.9249006610982	4.56341418502543	0.316443383129265	2.88207933570953	1.83375071822891	3.12822678681609	1.93149007155973	23.553665	-7.94456675	-27.418615	-15.0260175	-5.25244075	-21.342705	-1.22909025	-4.41055499999999	8.72532475	47.855605	2.25481325	-11.9518775	2.93830474999999	-4.0098595	-10.0294675	5.97424225	7.877641	16.3020025	1.00005504614998	1.0000957813844	1.0000572011089	1.00009318304455	1.00013583489399	1.0001004885629	1.00010402074589	1.00008297395294	1.00010804854148	54424.7151132198	42015.9764126659	53850.2861561865	36834.9258920609	66246.7334450708	36754.1759926323	40528.7438264436	36168.9497827973	36156.6870982376	56153.0604414998	57443.4871832915	55519.7000374773	47819.4386990456	71233.9239971158	50712.0855795414	56143.9530242882	47955.0921446065	50424.7705324697	no	yes	no	yes	no	no	yes	yes	no	5.2408	-3.2408
Niu + Tuvalu	1.0000823479492296	41506.28069369658	52580.88974188109	4.3090909090909095	4.3090909090909095	2.2464	-0.24639999999999995	0.24639999999999995	35.3456715424138	-3.26301042580987	-19.2126540534483	-6.6009030506739	-4.55122408672414	-14.7683718460345	2.54108335271204	2.05967659496747	11.9758393084483	6.17917754654352	2.6420298387249	3.93903475356344	4.70201733906184	0.311434407431567	3.00757307820032	1.8579000243553	3.19890842320925	2.0105480086315	9.67056	-14.9247	-38.2322	-28.3166	-5.90765	-27.2642	-5.39636	-12.7194	4.31487	64.1068	8.32311	-4.40806	14.5407	-3.36841	-3.00737	10.1412	16.6002	20.9102	no	yes	no	yes	no	no	yes	yes	no	35.3046808980172	-3.25394415504075	-19.182951940431	-6.59955564819601	-4.55148415017241	-14.749802772931	2.53426756937183	2.0580125020029	11.9637249574138	6.18758171782901	2.64826866602381	3.94710015740663	4.67628398892078	0.312672973063037	2.99347655789492	1.86189237923923	3.18012155137386	1.99963351002504	23.5359	-8.506131	-27.4150125	-15.397505	-5.17590125	-20.7691075	-1.06739975	-4.38462025	8.14636975	47.8417475	1.8933815	-11.942	2.89299725	-3.9498	-9.0023825	6.2324485	8.0768005	16.0093075	1.00004882656269	1.0000641236434	1.00009998014022	1.0000700788947	1.00001599184501	1.00013676568105	1.00010808469963	1.00007081525039	1.00012646482598	49748.7852877213	36282.9827824937	48942.3729582057	35767.8733778613	64586.9456215814	33811.7324125007	35676.8812876311	35277.7150353916	33461.2374798824	55723.1869560498	52365.9685959575	54830.980347351	47424.4073203227	69381.631530481	49094.0059108362	51658.2735368995	45652.1854527397	47097.3680262924	no	yes	no	yes	no	no	yes	yes	no	2.2464	-0.24639999999999995
Te Henua ‘Enana + Te Fenua ’Enata	1.000056409596702	40515.50215407428	51957.48489572539	4.3090909090909095	4.3090909090909095	0.6405	1.3595000000000002	1.3595000000000002	35.6478467751724	-3.80744368267947	-19.3139553256897	-5.19642097412617	-4.48857794327586	-15.7422024336207	2.94797329777152	0.709436255481881	12.8728882363793	6.0923696554541	2.64867820759113	3.87123657994453	4.76792529220337	0.312862190939019	3.06205303499353	1.88492924622707	3.38135990843929	2.15176642250702	9.74826	-14.8925	-36.8812	-23.1737	-5.9278	-32.8988	-4.55898	-15.2923	4.44201	61.6177	7.06429	-4.09758	17.8061	-3.15061	-3.81289	10.8888	12.7394	24.3791	no	yes	no	yes	no	no	yes	yes	no	35.6626582832759	-3.81932562765421	-19.3237706843103	-5.17372519506445	-4.48817665724138	-15.7618597813793	2.95648400664306	0.692391389331443	12.8870457789655	6.10474382457906	2.64871313867956	3.88098298340323	4.78221706670164	0.313119675610649	3.04929140451293	1.88278994960517	3.388502149148	2.14274717777334	23.9247925	-9.0755945	-27.36826	-14.2895275	-5.11406025	-21.8866	-0.671054925	-6.1502265	8.85498325	47.9604	1.3141265	-12.1163775	4.438725	-3.88397	-9.94253425	6.71472375	7.13373125	17.230425	1.00008112400625	1.0000154465874	1.00005272937249	1.00002679132006	1.00008477565014	1.00009317292443	1.00001461357325	1.00002720415012	1.00011182878617	50849.333601422	36956.4511221179	50015.7855197887	33225.3802584242	61435.8425426638	32083.2587402966	36056.8103624008	32360.0040784379	31656.6531611166	55714.4170342535	52899.4085722203	55393.0943361721	45978.9499853858	66982.3738343201	46683.7488896966	53255.2496394735	44861.6395948452	45848.4821751615	no	yes	no	yes	no	no	yes	yes	no	0.6405	1.3595000000000002
Ulithi + Yap	1.0000222617584469	43931.80279954314	54185.74899508015	4.3090909090909095	4.3090909090909095	1.011	0.9890000000000001	0.9890000000000001	36.0289816982759	-3.38488580217295	-19.5939528232759	-6.68448837092186	-4.58775251672414	-15.0633660189655	2.60360249606578	2.13510257275978	12.1372181774138	6.28028812582227	2.6143179002882	4.00249934044602	4.5939948741694	0.312497438422929	2.90621727959016	1.85101440271221	3.14880630171262	1.95609843531816	10.2178	-14.6357	-39.0765	-24.1248	-5.88268	-28.0374	-4.85784	-12.1593	3.99735	63.641	7.03298	-3.92493	14.4456	-3.25193	-2.33715	10.6218	14.304	20.8881	no	yes	no	yes	no	no	yes	yes	no	36.0300678707759	-3.38810285996592	-19.5996220477586	-6.67243188110272	-4.58759335137931	-15.0733335701724	2.60690983979337	2.12992325258139	12.1429551287069	6.30732096440726	2.62035543370871	4.02260320270185	4.6176114793933	0.313864851986538	2.90999401094953	1.85766302973281	3.16167801496877	1.95774267869634	24.0377925	-8.558037	-28.01524	-15.4323	-5.2140965	-20.911505	-0.9759591	-4.24541325	8.4205285	48.8481225	1.69824925	-12.1734925	2.6522205	-3.98096	-9.49854875	6.283622	8.15182574999999	16.092205	1.00003293410335	0.999997764579594	1.00005409083288	1.00003923308596	1.00001961616289	1.00000398493839	1.00000227586887	1.00004494769594	1.00000550855814	51173.1025007547	39945.630810472	50395.766466198	37773.2316441524	66047.27274815	36988.5588452782	39115.2164106857	37271.3872217369	36676.0585484602	53424.7900255142	56149.5802865085	52292.1989672461	49816.0707460563	68934.2057756844	52121.4999847299	55264.8128060296	48703.2984199032	50965.2839440492	no	yes	no	yes	no	no	yes	yes	no	1.011	0.9890000000000001
Woleai	1.0000323851129234	43424.56178637474	53481.30016077683	4.3090909090909095	4.3090909090909095	0.5442	1.4558	1.4558	36.4346066862069	-4.19603825298698	-19.8831491227586	-5.37852561279754	-4.57257032810345	-15.8626882501724	3.148204774164	1.30457784535693	12.6320160532759	6.35447754008514	2.67959001412498	4.04502239607432	4.79122193568157	0.312861202704716	3.0046586841348	1.89821880886442	3.26436891483856	2.01212335285099	11.0222	-18.7289	-38.0958	-25.828	-5.93022	-29.8415	-5.42839	-13.4073	5.2509	63.3225	7.85333	-4.47604	17.352	-3.32031	-4.19255	13.7961	15.1642	21.3395	no	yes	no	yes	no	no	yes	yes	no	36.4150957017241	-4.19261641604793	-19.8716478563793	-5.37157578031207	-4.57191101913793	-15.859189605	3.1459427380336	1.29960771834121	12.6306165555172	6.37043492516339	2.67898681726387	4.06020744638918	4.78310583983072	0.31324399731839	2.9986230233881	1.89850836448962	3.2611540291192	2.00822789982959	24.4048575	-9.47201675	-28.334145	-14.3916125	-5.19730075	-21.8306025	-0.540815449999999	-5.26395	8.7889185	49.3472025	1.03254425	-12.4393975	4.27909174999999	-3.9684195	-10.0927975	6.90851325	7.5128435	16.6634075	1.00003459711088	1.00002272443002	1.00005066992893	1.0000383588026	1.00001670715179	1.00004401648401	1.00001945977597	1.0000285950339	1.00003633729821	53508.5566662426	38216.4004586526	52874.0750847486	36616.0930833074	67128.2987375102	34629.3019846182	37405.027564573	36036.5848207321	34406.7176769878	58898.6614719093	54220.7816163855	56366.5738219358	46455.3055069368	68019.3756340903	48918.3515251865	53009.2979009324	46474.9378887148	48968.4160809	no	yes	no	yes	no	no	yes	yes	no	0.5442	1.4558
Aotearoa	1.000030999635945	40785.393625453515	50689.28663405813	4.327272727272727	4.327272727272727	68.4036	-67.4036	67.4036	22.0666034270509	-0.701572356605586	-9.53268526877107	-1.30439149037655	-4.64978784982759	-14.0010026241379	0.718518178490305	-1.76930133806975	11.4353288932759	12.1541127877332	3.2729410005984	8.47612532047649	6.51149259253076	0.319560658877861	2.97536701735523	2.31140485631835	4.53057662376319	2.00489320295565	-42.7763	-13.4383	-42.1142	-22.2738	-6.07698	-27.3145	-9.8512	-26.6354	3.99454	69.0032	13.5997	35.2778	34.6295	-3.33673	-2.51872	10.0346	13.3439	21.1048	yes	yes	yes	yes	no	no	yes	yes	no	22.0184739063662	-0.688517214058845	-9.50093186523737	-1.28682173207065	-4.65022720982759	-14.0005147784483	0.710100187008614	-1.7802369202774	11.4344227996552	12.1965726797897	3.2717672197833	8.50277062008923	6.52346893406291	0.317931990305412	2.97515902721838	2.31016795287151	4.53532515935248	2.00511960073721	-3.47484849999998	-7.04304825	-25.25122	-12.98992	-5.2784625	-19.9775025	-3.83043075	-11.321125	7.62493525	44.326205	5.77891325	8.11250275	12.5741	-4.03644725	-8.2956215	5.2229755	6.41893474999999	15.4795	1.00002078574742	1.00002881823851	1.00002054327486	1.000015229976	1.00010030460163	1.00001745696802	1.00004296218418	1.00001540018284	1.00001749555004	37145.8552011928	36992.0979287874	36812.4209721593	40484.7402897924	60020.7364631622	39129.5034156129	36838.2214903556	40521.3731860528	39123.5936819661	45014.6298085326	51514.1255382937	45123.5771960801	47076.2873671445	66061.1648694689	51469.5080006345	50700.0066582414	46902.9541720155	52341.3260961119	yes	yes	yes	yes	no	no	yes	yes	no	68.4036	-67.4036
Banaba	1.0000780701528662	43324.47814354014	53172.18228140937	4.327272727272727	4.327272727272727	0.1015	0.8985	0.8985	36.5819477310345	-4.12722100447838	-19.9938279215517	-5.74365666150034	-4.56687415086207	-15.7394513384483	3.16301557034715	1.48546948837862	12.5571885222414	6.3926083556834	2.65514314836893	4.08066170694925	4.67567888022454	0.313298064953881	2.91254115164227	1.88375767456456	3.1897804147351	1.95445972348619	10.8772	-15.2918	-42.6512	-24.6743	-5.91877	-28.2775	-5.22033	-13.2745	5.30857	70.4641	6.37298	-4.97359	15.4046	-3.3518	-4.71359	11.2238	14.0617	21.3495	no	yes	no	yes	no	no	yes	yes	no	36.550220055431	-4.1185156974821	-19.9722476067241	-5.71832448060392	-4.56688823568965	-15.7542463548276	3.15766681954376	1.46608503171929	12.5683286734483	6.38546643363356	2.65944802050562	4.07369919298602	4.69647219324048	0.312625337762289	2.93969483771341	1.88599722299619	3.20817808453542	1.97355465054804	24.4130925	-9.38048075	-28.45921	-14.65794	-5.18968025	-21.621405	-0.500159	-4.99682625	8.80302425	49.4841375	1.04957925	-12.49597	3.76226749999999	-3.963649	-10.09859	6.90944775	7.61597499999999	16.529705	1.00011698243781	1.00007096811497	1.00010398204343	1.00002803242244	1.00003223569424	1.00010253112483	1.00005227105237	1.00004932163257	1.00014630685315	51838.5861846615	40049.5524158361	50981.6715835087	36236.3553206946	67977.2877556044	34474.0301835356	38877.1515401382	35424.9847001123	34060.6836077698	54770.9331865016	53823.5301004759	53545.1788846689	47702.9121286799	68143.7563996526	51055.7919786137	53560.4798446439	46472.2746918025	49474.7833176453	no	yes	no	yes	no	no	yes	yes	no	0.1015	0.8985
Bellona + Rennelle	1.000097490372986	44409.91446690227	54978.772170830685	4.327272727272727	4.327272727272727	0.7254	0.27459999999999996	0.27459999999999996	35.6750137862069	-3.34558295652959	-19.4061234618966	-6.59874488424736	-4.56628406	-14.9355541767241	2.59272319588146	2.07454371398433	12.0637332110345	6.29408304319893	2.60788728918317	4.01527876616032	4.59950028722615	0.312440880909968	2.90064410973354	1.84815774572278	3.14623547523965	1.9514239331844	10.8524	-14.2708	-38.1435	-24.2014	-5.76698	-29.2517	-4.86931	-13.1885	4.62006	62.0674	7.61153	-4.65025	15.9271	-3.22662	-3.3825	10.9866	14.5583	21.561	no	yes	no	yes	no	no	yes	yes	no	35.6686967944828	-3.34855850125482	-19.4002877224138	-6.5787298137612	-4.56677091198276	-14.9474921586207	2.59472824667242	2.05955868219805	12.0723668587931	6.26528278435457	2.60629529436422	3.9979151766594	4.59617504282895	0.311609015911607	2.89828534622233	1.84722929307915	3.14902463385282	1.95114376456128	23.809995	-8.543495	-27.7721225	-15.270415	-5.18795025	-20.7382275	-0.973996649999999	-4.3238675	8.357039	48.37102	1.70763475	-12.0972975	2.75579725	-3.9651	-9.3925895	6.28617075	8.03388175	15.985305	1.00001785828085	1.00013601796553	1.00001422951776	1.00012652684907	1.00000852281282	1.0001826174708	1.00012747674421	1.00012274299764	1.00014142071818	54018.7758959334	41293.4468443037	53497.0708074174	37268.8669486327	64725.2791132594	36200.6044442528	40252.592987519	36698.9474765169	35733.6456842851	59628.2680550735	55099.6953756457	57976.0806848979	49546.6007176067	69564.4117011534	51133.7678533133	54914.2509334655	47412.8282986177	49533.0459177026	no	yes	no	yes	no	no	yes	yes	no	0.7254	0.27459999999999996
